question_id,question,a,b,c,d,ans,topic,subtopic,diff
91,"if a=$ \left[\begin{matrix}5&4\\3&2\\\end{matrix}\right],\ then\ a^{-1}is\ equal\ to $",-$ \frac{1}{2}\left[\begin{matrix}-2&4\\3&5\\\end{matrix}\right] $,$$  \frac{1}{2}\left[\begin{matrix}5&3\\4&2\\\end{matrix}\right]  $$,$$  \frac{1}{2}\left[\begin{matrix}5&-4\\-3&2\\\end{matrix}\right]  $$,$$  \frac{1}{2}\left[\begin{matrix}2&-4\\-3&5\\\end{matrix}\right]  $$,a,matrices,none,3
92,"a=$ \left[\begin{matrix}0&3\\2&0\\\end{matrix}\right]{and\ a}^{-1}=\lambda\left(adj\left(a\right)\right),\ then\ \lambda= $",-0.833333333,01-Mar,-0.333333333,-0.166666667,d,matrices,none,3
93,"if u=$ \left[\begin{matrix}\bot&-\bot\\\sqrt2&\sqrt2\\\frac{1}{\sqrt2}&\frac{1}{\sqrt2}\\\end{matrix}\right],\ then\ u^{-1}\ is $",$ {-u}^t $,$ u^t $,1,0,b,matrices,none,3
94,"if a=$ \left[a_{ij}\right]_{2\times2},\ where\ a_{ij}=ⅈ+j   if ⅈ≠jⅈ2-2j   if  ⅈ=j $  then a-1 is equal to",$$  \frac{1}{9}\left[\begin{matrix}4&1\\-1&2\\\end{matrix}\right]  $$,$$  \frac{1}{9}\left[\begin{matrix}0&3\\3&1\\\end{matrix}\right]  $$,$$  \frac{1}{9}\left[\begin{matrix}10&-3\\3&1\\\end{matrix}\right]  $$,none of these,b,matrices,none,3
95,"if a=$ \left[\begin{matrix}3&2\\0&1\\\end{matrix}\right],\ then\ \left(a^{-1}\right)^3\ is\ equal\ to $",$ \frac{1}{27}\left[-\begin{matrix}1&-26\\0&-27\\\end{matrix}\right] $,$$  \frac{1}{27}\left[\begin{matrix}1&-26\\0&27\\\end{matrix}\right]  $$,$$  \frac{1}{27}\left[\begin{matrix}1&-26\\0&-27\\\end{matrix}\right]  $$,$$  \frac{1}{27}\left[\begin{matrix}-1&-26\\0&-27\\\end{matrix}\right]  $$,b,matrices,none,3
96,the inverse of the matrix $ \left[\begin{matrix}1&0&0\\3&3&0\\5&2&-1\\\end{matrix}\right]\ is $,$$  -\frac{1}{3}\left[\begin{matrix}-3&0&0\\3&1&0\\-9&-2&-3\\\end{matrix}\right]  $$,$$  -\frac{1}{3}\left[\begin{matrix}-3&0&0\\3&1&0\\9&2&3\\\end{matrix}\right]  $$,$$  -\frac{1}{3}\left[\begin{matrix}3&0&0\\3&-1&0\\9&-2&3\\\end{matrix}\right]  $$,$$  -\frac{1}{3}\left[\begin{matrix}-3&0&0\\-3&-1&0\\-9&-2&3\\\end{matrix}\right]  $$,c,matrices,none,3
97,the inverse of the matrix $ \left[\begin{matrix}2&5&0\\0&1&1\\1&0&3\\\end{matrix}\right]is $,$$  \left[\begin{matrix}3&-5&5\\-1&-6&-2\\1&-5&2\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}3&-15&5\\-1&6&-2\\1&-5&2\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}3&-1&1\\-15&-6&-5\\-5&-2&2\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}3&-15&5\\-1&6&-2\\1&-5&2\\\end{matrix}\right]  $$,b,matrices,none,3
98,"if a=$ \left[\begin{matrix}0&-1&0\\1&0&0\\0&0&-1\\\end{matrix}\right],\ then\ a^{-1}\ is $",$$  {2a}^t  $$,$$  a^t  $$,$$  a  $$,1,b,matrices,none,3
99,"if a=$ \left[\begin{matrix}2&0&0\\0&3&0\\0&0&4\\\end{matrix}\right],\ then\ a^{-1}\ is $",a,$$  a^3  $$,$$  {2a}^3  $$,$$  a^4  $$,b,matrices,none,3
100,"the inverse of the matrix a=$ \left[\begin{matrix}2&0&0\\0&3&0\\0&0&4\\\end{matrix}\right],\ is $",$ \left[\begin{matrix}\frac{1}{2}&0&0\\0&\frac{1}{3}&0\\0&0&\frac{1}{4}\\\end{matrix}\right] $,$$  \frac{1}{24}\left[\begin{matrix}2&0&0\\0&3&0\\0&0&4\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}2&0&0\\0&3&0\\0&0&4\\\end{matrix}\right]  $$,$$  \frac{1}{24}\left[\begin{matrix}1&0&0\\0&1&0\\0&0&1\\\end{matrix}\right]  $$,a,matrices,none,3
101,if a=$ \left[\begin{matrix}\frac{k}{2}&0&0\\0&\frac{l}{3}&0\\0&0&\frac{m}{4}\\\end{matrix}\right] $ and $ a^{-1}=\left[\begin{matrix}\frac{1}{2}&0&0\\0&\frac{1}{3}&0\\0&0&\frac{1}{4}\\\end{matrix}\right] $ then k+l+m=,1,29,14,-29,b,matrices,none,3
102,"if a=$ \left[\begin{matrix}0&1&2\\1&2&3\\3&1&1\\\end{matrix}\right],\ then\ the\ sm\ of\ all\ the\ diagonal\ entries\ ofa^{-1}is $",4,3,-3,-4,a,matrices,none,3
103,"$ a=\left[\begin{matrix}1&0&0\\0&1&1\\0&-2&4\\\end{matrix}\right]i=\left[\begin{matrix}1&0&0\\0&1&0\\0&0&1\\\end{matrix}\right]:a^{-1}=\frac{1}{6}\left(a^2+ca+di\right)\ where\ c,d\in r $, then (c,d) is","(-6,-11)","(6,-11)","(-6,11)","(6,11)",d,matrices,none,3
104,"if a=$ \left[\begin{matrix}1&2&3\\1&3&5\\2&1&6\\\end{matrix}\right] $, then (adj(adja))-1=",$$  \frac{1}{6}\left[\begin{matrix}8&-6&3\\5&1&-2\\-5&3&1\\\end{matrix}\right]  $$,$$  \frac{1}{36}\left[\begin{matrix}13&-9&1\\4&0&-2\\5&3&1\\\end{matrix}\right]  $$,$$  \frac{1}{6}\left[\begin{matrix}13&-9&1\\4&0&-2\\-5&3&1\\\end{matrix}\right]  $$,$$  \frac{1}{36}\left[\begin{matrix}13&-9&1\\4&0&-2\\5&-3&1\\\end{matrix}\right]  $$,b,matrices,none,3
105,if a=$ \left[\begin{matrix}2&2\\-3&2\\\end{matrix}\right]and\ b=\left[\begin{matrix}0&-1\\1&0\\\end{matrix}\right]{then\ \left(b^{-1}a^{-1}\right)}^{-1}= $,$$  \left[\begin{matrix}2&-2\\-2&-3\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}2&-2\\2&3\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}2&-3\\2&2\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}1&-1\\-2&3\\\end{matrix}\right]  $$,b,matrices,none,3
106,"let for any matrix m, m-1 exit, then which of the following is not true ?",$$  \left(m^{-1}\right)=\left(m\right)^{-1}  $$,$$  \left(m^2\right)^{-1}=\left(m^{-1}\right)^2  $$,$$  \left(m^{-1}\right)^{-1}=\left(m^{-1}\right)^1  $$,$$  \left(m^{-1}\right)^{-1}=m  $$,c,matrices,none,3
107,"if for the matrix a,$ a^3=i,\ then\ a^{-1}= $",$$  {2a}^2  $$,$$  a^2  $$,$$  a  $$,none of these,b,matrices,none,3
108,if $ a^2-a+i=o{\ then\ a}^{-1}= $,$$  a^{-2}  $$,$$  2a+i  $$,i-a,a-i,c,matrices,none,3
109,"if a and b are two square matrices such that b=-$ a^{-1}ba,then\ \left(a+b\right)^2= $",0,$$  a^2+b^2  $$,$$  a^2+2ab+b^2  $$,$$  a+b  $$,b,matrices,none,3
110,"if a=$ \left[\begin{matrix}2x&0\\x&x\\\end{matrix}\right] $ and $ a^{-1}=\left[\begin{matrix}1&0\\-1&2\\\end{matrix}\right],then\ x= $",2,#NAME?,01-Feb,3,c,matrices,none,3
111,"if matrix a=$ \left[\begin{matrix}1&2\\4&3\\\end{matrix}\right]such\ that\ ax=1,then\ x $=",$$  \frac{1}{5}\left[\begin{matrix}1&3\\2&-1\\\end{matrix}\right]  $$,$$  \frac{1}{5}\left[\begin{matrix}4&2\\4&-1\\\end{matrix}\right]  $$,$$  \frac{1}{5}\left[\begin{matrix}-3&2\\4&-1\\\end{matrix}\right]  $$,$$  \frac{1}{5}\left[\begin{matrix}-1&2\\-1&4\\\end{matrix}\right]  $$,c,matrices,none,3
112,"if the inverse of the matrix a=$ \left[\begin{matrix}1&2&2\\2&1&2\\2&2&1\\\end{matrix}\right]\ is\ \frac{1}{5}\left[\begin{matrix}-3&2&2\\2&-3&a\\2&2&-3\\\end{matrix}\right],\ then\ a= $",3,4,21,2,d,matrices,none,3
113,"let $ a=\left[\begin{matrix}1&-1&1\\2&1&-3\\1&1&1\\\end{matrix}\right]and10b=\left[\begin{matrix}4&2&2\\-5&0&a\\1&-2&3\\\end{matrix}\right].\ \  $ $ if\ b\ is\ the\ inverse\ of\ matrix\ a $, then a",0,5,2,50,b,matrices,none,3
114,if a=$ \left[\begin{matrix}1&2&3\\-1&1&2\\1&2&4\\\end{matrix}\right]then\ \left(a^2-5a\right)a^{-1}= $,$$  \left[\begin{matrix}4&2&3\\-1&4&2\\1&2&1\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}4&2&3\\-1&-4&2\\1&2&-1\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}-4&1&1\\2&-4&2\\3&2&-1\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}-1&-2&1\\4&-2&-3\\1&4&-2\\\end{matrix}\right]  $$,b,matrices,none,3
115,"if $ \left[\begin{matrix}1&1\\1&1\\\end{matrix}\right]xy=24,  $                                                              $ then\ the\ values\ of\ x\ and\ y\ respectively\ are $","-3,-1","-1,3","3,1","1,3",b,matrices,none,3
116,"if $ \left[\begin{matrix}1&2&-3\\0&4&5\\0&0&1\\\end{matrix}\right]xyz=111, then x,y,zis equalto $","1,6,6,","1,-6,1","1,1,6","6,-1,1",d,matrices,none,3
117,"if $ \left[\begin{matrix}1&3&3\\1&4&4\\1&3&4\\\end{matrix}\right]xyz=121513 $then the values of x, y, zrespectively are","1,2,3","-3,2,1","3,2,1","1, 1, 2",c,matrices,none,3
118,"if $ \left[\begin{matrix}1&1&1\\1&-2&-2\\1&3&1\\\end{matrix}\right]xyz=034, then xyzis equal to $","{1,1,1}","{1,-2,3}","{1,-2,1}","{1,2,-3}",d,matrices,none,3
119,"let m be a 3 x 3 matrix satisyfying $$  m010=123,m1-10=11-1 and  m111=0012  $$ then the sum of diagonal entries of m is?",9,8,19,6,a,matrices,none,3
120,"for a matrix a = $ \left[\begin{matrix}1&0&0\\2&1&0\\3&2&1\\\end{matrix}\right] $if u1, u2 and u3 are 3 x 1column matrices satisfying au1 =$ 100 $ , au2 = $ 230 $, au3 = $ 231 $ and u is 3 x 3 matrix whose columns are u1, u2 and u3 then sum of the elements of u-¹ is",6,1,0,02-Mar,c,matrices,none,3
121,"if $ a=\left[\begin{matrix}\cos\funcapply\theta&\sin\funcapply\theta&0\\-\sin\funcapply\theta&\cos\funcapply\theta&0\\0&0&1\\\end{matrix}\right] $, where $ a_{11},a_{12},a_{13} $ are co-factors of $ a_{11},a_{12},a_{13} $ respectively, then the value of $ a_{11}\mathbf{a}_{11}+a_{12}\mathbf{a}_{12}+a_{13}\mathbf{a}_{13}= $",1,-1,0,$ \frac{1}{2} $,a,matrices,none,3
122,"given $ a=\left[\begin{matrix}0&-\tan\funcapply\alpha\\\tan\funcapply\alpha&0\\\end{matrix}\right] $ and $ b(\alpha)=\left[\begin{matrix}\cos\funcapply\alpha&-\sin\funcapply\alpha\\\sin\funcapply\alpha&\cos\funcapply\alpha\\\end{matrix}\right] $, then $ (i+a)(i-a)^{-1} $ is equal to",$$  b\left(2\alpha\right)  $$,$$  b\left(-\alpha\right)  $$,$$  b\left(\alpha\right)  $$,$ b(-2\alpha) $,a,matrices,none,3
123,"if $ k $ is one of the roots of the equation $ x^2-25x+24=0 $ such that $ a=\left[\begin{matrix}1&2&1\\3&2&3\\1&1&k\\\end{matrix}\right] $ is a non-singular matrix, then $ a^{-1}= $",$ -\frac{1}{46}\left[\begin{matrix}90&-94&8\\-138&46&0\\2&2&-8\\\end{matrix}\right] $,$$  -\frac{1}{46}\left[\begin{matrix}45&-47&4\\-69&23&0\\1&1&-4\\\end{matrix}\right]  $$,$$  -\frac{1}{92}\left[\begin{matrix}45&-47&4\\-69&23&0\\1&1&-4\\\end{matrix}\right]  $$,$ -\frac{1}{92}\left[\begin{matrix}90&-94&8\\-138&46&0\\2&2&-8\\\end{matrix}\right] $,c,matrices,none,3
124,"if $ a $ is an $ 3\times3 $ non-singular matrix such that $ {\rm aa}^\prime=a^\primea $ and $ b=a^{-1}a^\prime $, then $ {\rm bb}^\prime $ equals",$$  b^{-1}  $$,$$  i  $$,$$  \left(b^{-1}\right)^\prime  $$,#NAME?,b,matrices,none,3
125,"let $ m $ and $ n $ be two $ 3\times3 $ non-singular skew-symmetric matrices such that $ mn=nm $. if $ p^t $ denotes the transpose of $ p $, then $ m^2n^2\left(m^tn\right)^{-1}\left(mn^{-1}\right)^t $ is equal to",$ {-m}^2 $,$ m^2 $,$ -n^2 $,$ mn $,a,matrices,none,3
126,if a and adj a are non-singular square matrices of order n then adj (a-1)=,$$  \mathrm{\ }{(adj\funcapply\mathrm{\ a)}}^{-1}  $$,$ adj\funcapply(adj $(a)),$$  (adj\funcapplya)^\prime  $$,$ (adj\funcapply a)a $,a,matrices,none,3
127,"if $ a=\left[\begin{matrix}1&2&2\\-2&-1&-1\\1&-4&-3\\\end{matrix}\right] $, then the sum of the elements of $ a^{-1} $ is",10,0,-1,3,b,matrices,none,3
128,"if $ a=\left[\begin{matrix}2&0&3\\1&-1&2\\3&-2&0\\\end{matrix}\right] $, then $ (adj\funcapplya)a= $",$$  \left[\begin{matrix}-11&0&0\\0&-11&0\\0&0&-11\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}11&0&0\\0&11&0\\0&0&11\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}17&0&0\\0&17&0\\0&0&17\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}-7&0&0\\0&-7&0\\0&0&-7\\\end{matrix}\right]  $$,b,matrices,none,3
129,the inverse of $ \left[\begin{matrix}1&2&4\\3&-19&7\\2&4&8\\\end{matrix}\right] $ is,$ \left[\begin{matrix}1&1&1\\3&9&7\\2&1&8\\\end{matrix}\right] $,$ \left[\begin{matrix}1&1&1\\19&7&8\\2&1&3\\\end{matrix}\right] $,$ \left[\begin{matrix}3&1&4\\1&2&3\\4&5&8\\\end{matrix}\right] $,does not exist,d,matrices,none,3
130,"if$ \left[\begin{matrix}1&-\tan\funcapply\theta\\\tan\funcapply\theta&1\\\end{matrix}\right]\left[\begin{matrix}1&\tan\funcapply\theta\\-\tan\funcapply\theta&1\\\end{matrix}\right]^\prime=\left[\begin{matrix}a&-b\\b&a\\\end{matrix}\right] $,","$ a=1,b=1\  $","$ a=\cos\funcapply2\theta,b=\sin\funcapply2\theta $","$ a=\sin\funcapply2\theta,b=\cos\funcapply2\theta $",,b,matrices,none,3
131,"if $ \left[\begin{matrix}1&2&3\\2&4&1\\3&2&9\\\end{matrix}\right]\left[\begin{matrix}x\\y\\z\\\end{matrix}\right]=\left[\begin{matrix}6\\7\\14\\\end{matrix}\right] $, then the values of $ x,y,z $ respectively are","1,2,3","2,2,2","1,-1,1","1,1,1",d,matrices,none,3
132,"the value of λ for which the matrix $ \left[\begin{matrix}1&2&-1\\2&\lambda&3\\-1&0&3\\\end{matrix}\right] $will not be invertible, is",$ \frac{9}{2} $,-9,9,$ \frac{-9}{2} $,b,matrices,none,3
133,let $ a $ and $ b $ be two matrices of order $ n\times n $. let $ a $ be non-singular and $ b $ be singular. consider the following: $ ab $ is singular. 2. $ ab $ is non-singular. 3.  $ a^{-1}b $ is singular. 4.   $ a^{-1}b $ is non-singular which of the above is/are correct?,1 only,3 only,1 and -3,1 and 3,d,matrices,none,3
134,"if $ a=\left[\begin{matrix}1&3\\2&4\\\end{matrix}\right] $ and$ (ab)^{-1}=\left[\begin{matrix}\frac{-1}{2}&\frac{1}{2}\\\frac{1}{4}&0\\\end{matrix}\right] $, then $ b^{-1}\cdota^{-1}= $",$ \left[\begin{matrix}\frac{-5}{8}&\frac{1}{8}\\\frac{3}{8}&\frac{1}{8}\\\end{matrix}\right] $,$ \left[\begin{matrix}-1&1\\3&5\\\end{matrix}\right] $,$$  \left[\begin{matrix}\frac{-1}{2}&\frac{1}{4}\\\frac{1}{2}&0\\\end{matrix}\right]  $$,$ \left[\begin{matrix}\frac{-1}{2}&\frac{1}{2}\\\frac{1}{4}&0\\\end{matrix}\right] $,d,matrices,none,3
135,"if $ a=\left[\begin{matrix}1&4&4\\4&1&4\\4&4&1\\\end{matrix}\right] $ and $ a^{-1} $ exists and not equal to zero, then $ \left(a^2-8a\right)a^{-1}= $",$$  \left[\begin{matrix}-7&4&4\\4&-7&4\\4&4&-7\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}9&4&4\\4&4&9\\9&4&4\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}-7&4&4\\-2&-7&-4\\4&4&-7\\\end{matrix}\right]  $$,$ \left[\begin{matrix}0&9&4\\4&0&9\\9&4&0\\\end{matrix}\right] $,a,matrices,none,3
136,"if $ a=\left[\begin{matrix}1&0&-2\\-2&-1&2\\3&4&1\\\end{matrix}\right] $, then $ a^{-1} $ is equal to",$ a^2+a-2i $,$ a^2-a-2i $,$ a^2+2a-4i $,$ a^2-a-3i $,c,matrices,none,3
137,"$ if\ a^{-1}=\left[\begin{matrix}1&2&-2\\-1&3&0\\0&-2&1\\\end{matrix}\right] $, then adj $ a= $",1,$ a^{-1} $,a,$ 2a^{-1} $,b,matrices,none,3
138,"if $ a=\left[\begin{matrix}1&2&0\\-1&1&2\\2&-1&1\\\end{matrix}\right] $, then $ \det\funcapply(adj\funcapply(adj\funcapply a))= $",13,$ {13}^4 $,$ {13}^3 $,$ {13}^2 $,b,matrices,none,3
139,"let $ a $ be a $ 3\times3 $ non-singular matrix with $ |a|=\alpha $. if $ a^{-1}(adj\funcapply(adj\funcapplya))=ki $, then the value of $ k $ is",2,$ \alpha $,$ \alpha^2 $,$ \alpha^3 $,b,matrices,none,3
140,"if $ a=\left[\begin{matrix}1&-1&1\\0&2&-3\\2&1&0\\\end{matrix}\right],b=adj\funcapply a $ and $ c=5a $ then $ \frac{|adj\funcapply b|}{|c|}= $",1,25,-1,10,a,matrices,none,2
141,"if $ a=\left[\begin{matrix}2&-3\\3&5\\\end{matrix}\right] $, then adj $ a= $",$$  \left[\begin{matrix}-5&-3\\3&-2\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}-5&-1\\-3&2\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}5&-3\\3&2\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}5&3\\-3&2\\\end{matrix}\right]  $$,d,matrices,none,2
142,"if $ a=\left[\begin{matrix}4&2\\3&4\\\end{matrix}\right] $, then $ |adj\funcapplya|= $",6,10,-16,$$  -10  $$,b,matrices,none,2
143,"if $ x=\left[\begin{matrix}-x&-y\\z&t\\\end{matrix}\right] $, then transpose of adj $ x $ is",$$  \left[\begin{matrix}t&z\\-y&-x\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}t&-z\\y&-x\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}t&y\\-z&-x\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}-x&-y\\z&t\\\end{matrix}\right]  $$,b,matrices,none,2
144,"if $ a=\left[\begin{matrix}2&-3\\-4&1\\\end{matrix}\right] $, then adj $ \left(3a^2+12a\right)= $",$$  \left[\begin{matrix}72&-63\\-84&51\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}71&-84\\-63&51\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}51&63\\84&72\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}51&84\\63&72\\\end{matrix}\right]  $$,c,matrices,none,2
145,"if $ a=\left[\begin{matrix}5a&-b\\3&2\\\end{matrix}\right] $ and $ a(adj\funcapplya)={\rm aa}^t $, then $ 5a+b= $",$$  -1  $$,5,14,13,b,matrices,none,2
146,adjoint of the matrix $ n=\left[\begin{matrix}-4&-3&-3\\1&0&1\\4&4&3\\\end{matrix}\right] $ is,$$  -n  $$,$$  n  $$,$$  3n  $$,$$  -2n  $$,b,matrices,none,2
147,"if $ a=\left[\begin{matrix}3&5&-1\\2&0&4\\1&-3&0\\\end{matrix}\right] $, then $ \left[\begin{matrix}12&4&-6\\3&1&14\\20&-14&-10\\\end{matrix}\right] $ is",$$  adj⁡a'  $$,$$  -\left(adj{a}\right)  $$,$$  adj{a}  $$,$$  a^{-1}  $$,a,matrices,none,2
148,"if the adjoint of a $ 3\times3 $ matrix $ p $ is $ \left[\begin{matrix}1&4&4\\2&1&7\\1&1&3\\\end{matrix}\right] $, then the possible value (s) of the determinant of $ p $ is (are)",$$  \pm2  $$,$$  -1  $$,1,2,a,matrices,none,2
149,"$$  a=\left[\begin{matrix}1&0&2\\-1&1&-2\\0&2&1\\\end{matrix}\right] $ and $ adj\funcapplya=\left[\begin{matrix}5&x&-2\\1&1&0\\-2&-2&y\\\end{matrix}\right] $, then $ (x,y)=  $$","$$  (4,-1)  $$","$$  (-4,-1)  $$","$$  (-4,-10)  $$","$$  (4,1)  $$",d,matrices,none,2
150,"if $ a=\left[\begin{matrix}-1&-2&-2\\2&1&-2\\2&-2&1\\\end{matrix}\right] $ and $ ka^\prime=adj\funcapplya $, then $ k= $",2,3,$$  -1  $$,$$  -3  $$,b,matrices,none,2
151,"if $ a $ is a unit matrix of order $ n $, then $ a $ (adj $ a $ ) is",row matrix,zero matrix,unit matrix,not unit matrix,c,matrices,none,2
152,"if $ a=\left[\begin{matrix}3&4\\5&7\\\end{matrix}\right] $, then $ a(adj\funcapply a)= $",$$  |a|i  $$,$$  |a|  $$,3i,2i,a,matrices,none,2
153,"if $ a=\left[\begin{matrix}1&2\\3&4\\\end{matrix}\right] $ and $ a(adj\funcapplya)=ki $, then $ k= $",2,$$  -2  $$,10 .,$$  -10  $$,b,matrices,none,2
154,"if $ a=\left[\begin{matrix}\cos\funcapply\alpha&\sin\funcapply\alpha\\-\sin\funcapply\alpha&\cos\funcapply\alpha\\\end{matrix}\right] $ and $ a(adj\funcapplya)=\left[\begin{matrix}k&0\\0&k\\\end{matrix}\right] $, then $ k= $",$$  \sin\funcapply\alpha\cos\funcapply\alpha  $$,$$  \cos\funcapply2\alpha  $$,2,1,d,matrices,none,2
155,"for an invertible matrix $ a $, if $ a(adj\funcapply a)=\left[\begin{matrix}10&0\\0&10\\\end{matrix}\right] $, then $ |a|= $",-10,$$  -100  $$,10,$$  100  $$,a,matrices,none,2
156,"if $ a=\left[\begin{matrix}1&-1&2\\3&0&-2\\1&0&3\\\end{matrix}\right] $, then (adj $ \left. a\right)a= $",$$  3i  $$,$$  7i  $$,$$  -7i  $$,$$  11i  $$,d,matrices,none,2
157,"if $ a=\left[\begin{matrix}1&-2&2\\0&2&-3\\3&-2&4\\\end{matrix}\right] $, then $ a(adj\funcapply a)= $",$$  \left[\begin{matrix}0&0&0\\0&0&0\\0&0&0\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}5&0&0\\0&5&0\\0&0&5\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}8&0&0\\0&8&0\\0&0&8\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}5&1&1\\1&1&1\\1&1&5\\\end{matrix}\right]  $$,c,matrices,none,2
158,"if $ a $ is a square matrix of order $ 2\times2 $ and $ |a|=5 $, then $ |a(adj\funcapply a)|= $",5,20,25,31,c,matrices,none,2
159,"if $ a $ is a square matrix of order $ n $, where $ |a|=5 $ and $ |a(adj\funcapplya)|=125 $, then $ n= $",3,2,0,4,a,matrices,none,2
160,"if $ a $ is a non-singular matrix of order 3 , then $ adj\funcapply(adj\funcapply a)= $",$$  a  $$,$$  a^{-1}  $$,$$  \left|a\right|a  $$,$$  \frac{1}{\left|a\right|}a^{-1}  $$,c,matrices,none,2
161,"if $ a=\left[\begin{matrix}2&-1&1\\1&2&1\\-1&1&3\\\end{matrix}\right] $, then $ |adj\funcapply(adj\funcapply a)|= $",$$  {17}^2  $$,17,$$  {17}^5  $$,$$  {17}^4  $$,d,matrices,none,2
162,"if $ a=\left[\begin{matrix}1&-1&1\\0&2&-3\\2&1&0\\\end{matrix}\right],b=adj\funcapply a $, and $ c=5a $, then $ \frac{|adj\funcapply b|}{|c|}= $",$$  -1  $$,1,-5,25,b,matrices,none,2
163,"if $ a=\left[\begin{matrix}1&2&3\\1&4&9\\1&8&27\\\end{matrix}\right] $, then the value of $ \mid $ adj $ a\mid $ is",144,84,36,18,a,matrices,none,2
164,"if $ p=\left[\begin{matrix}1&\alpha&3\\1&3&3\\2&4&4\\\end{matrix}\right] $ is the adjoint of $ 3\times3 $ matrix $ a $ and $ |a|=4 $, then $ \alpha= $",1,4,5,11,d,matrices,none,2
165,"if $ a $ is a matrix of order 3 and $ |a|=8 $, then $ |adj\funcapply a|= $",1,3,$$  2^3  $$,$$  2^6  $$,a,matrices,none,2
166,"for a $ 3\times3 $ matrix $ a $, if $ |a|=4 $, then $ |adj\funcapply a|= $",$$  -4  $$,4,16,8,c,matrices,none,2
167,"if $ a $ is a square matrix of order 3 and $ |adj\funcapply a|=25 $, then $ |a|= $",25,$$  -25  $$,$$  \pm5  $$,-625,a,matrices,none,2
168,"if $ a $ is a square matrix of order 3 such that $ a^{-1} $ exists, then $ \mid $ adj $ a\mid= $",$$  |a|  $$,$$  |a|^2  $$,$$  |a|^3  $$,$$  |a|^4  $$,b,matrices,none,2
169,"if $ a=\left[\begin{matrix}a&0&0\\0&a&0\\0&0&a\\\end{matrix}\right] $, then $ |a|\mid $ adj $ a\mid= $",$$  a^3  $$,$$  a^{12}  $$,$$  a^9  $$,$$  a^{27}  $$,c,matrices,none,2
170,"if $ a $ is a square matrix of order 3 and $ |a|=-2 $, then the value of the determinant $ |a|(adj\funcapply a) $ is",8,$$  -8  $$,$$  1  $$,$$  -32  $$,d,matrices,none,2
171,"if $ a=\left[\begin{matrix}0&1&-1\\2&1&3\\3&2&1\\\end{matrix}\right] $, then $ \left(a(adj\funcapply a)a^{-1}\right)a= $",$$  2\left[\begin{matrix}3&0&0\\0&3&0\\0&0&3\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}-6&0&0\\0&-6&0\\0&0&-6\\\end{matrix}\right]  $$,$$  \frac{1}{6}\left[\begin{matrix}0&1&-1\\2&1&3\\3&2&1\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}3&0&0\\0&-3&0\\0&0&3\\\end{matrix}\right]  $$,a,matrices,none,2
172,"if for the matrix $ a,a^3=i $, then $ a^{-1}= $",$$  a  $$,$$  a^2  $$,$$  a^3  $$,$$  -a^3  $$,b,matrices,none,2
173,"if for a matrix $ a,a^5=i $, then $ a^{-1}= $",$$  a^2  $$,$$  a^3  $$,a,$$  a^4  $$,d,matrices,none,2
174,"if $ a $ and $ b $ are square matrices of the same order and $ ab=3i $, the $ a^{-1}=m $ and $ ab=3i $, then $ a^{-1}= $",2b,$$  \frac{1}{3}b  $$,$$  3b^{-1}  $$,$$  \frac{1}{3}b^{-1}  $$,c,matrices,none,2
175,"if $ a^2-a+i=o $, then $ a^{-1}= $",$$  a^{-2}  $$,i – a,$$  -a-i  $$,$$  a+i  $$,b,matrices,none,2
176,"if $ a=\left[\begin{matrix}3&1\\-1&2\\\end{matrix}\right] $ and $ a^2-5a+7i=0 $, then $ i= $",$$  \frac{1}{5}a+\frac{7}{5}a^{-1}  $$,$$  \frac{1}{7}a+\frac{5}{7}a^{-1}  $$,$$  \frac{1}{7}a-\frac{5}{7}a^{-1}  $$,$$  \frac{1}{5}a-\frac{7}{5}a^{-1}  $$,a,matrices,none,2
